names,description,classification,drug_id,productNames
Interferon beta-1a,"Human interferon beta (166 residues), glycosylated, MW=22.5kD. It is produced by mammalian cells (Chinese Hamster Ovary cells) into which the human interferon beta gene has been introduced. The amino acid sequence is identical to that of natural human interferon beta.","PeptidesOrganic CompoundsOrganic AcidsCarboxylic Acids and DerivativesAmino Acids, Peptides, and Analogues",DB00060,Avonex
Pegademase,Bovine adenosine deaminase derived from bovine intestine that has been extensively pegylated for extended serum half life.,"PeptidesOrganic CompoundsOrganic AcidsCarboxylic Acids and DerivativesAmino Acids, Peptides, and Analogues",DB00061,Adagen
Albumin human,"Human serum albumin is the primary protein present in human blood plasma. The main function of albumin is to maintain the oncotic pressure of blood [A33706]. It binds to water, cations (such as Ca2+, Na+ and K+), fatty acids, hormones, bilirubin, thyroxine (T4) and pharmaceuticals (including barbiturates).  Albumin represents approximately 50% of the total protein content in healthy humans [A40060].

Human albumin is a small globular protein (molecular weight: 66.5 kDa), consisting of a single chain of 585 amino acids organized in three repeated homolog domains (sites I, II, and III). Each domain comprises two separate sub-domains (A and B) [A40060]. 

There are various preparations of albumin that are well established and widely available in the clinical setting [L3108], [L3109], [L3101].

Also known as _Albuminex_ 5% or 25%, one brand of human serum albumin is prepared from the pooled plasma of US donors in FDA-licensed facilities in the US [F229].  This is a biosimilar drug to existing human serum albumin and was approved for a biological license at both 5% and 25% concentrations by the FDA on June 21, 2018 [L3101].","PeptidesOrganic CompoundsOrganic AcidsCarboxylic Acids and DerivativesAmino Acids, Peptides, and Analogues",DB00062,Albuked
Eptifibatide,"Synthetic cyclic hexapeptide that binds to platelet receptor glycoprotein and inhibits platelet aggregation. Derived from venom of the Southeastern pygmy rattlesnake (Sistrurus miliarus barbouri), eptifibatide is a cyclic heptapeptide that belongs to the class of arginin-glycin-aspartat-mimetics.","PeptidesOrganic CompoundsOrganic AcidsCarboxylic Acids and DerivativesAmino Acids, Peptides, and Analogues",DB00063,Eptifibatide
Infliximab,"Infliximab is a tumor necrosis factor (TNF-alpha or TNF-α) blocker and a chimeric monoclonal IgG1 antibody composed of human constant (75%) and murine variable (25%) regions [A31469]. Infliximab is produced by a recombinant cell line cultured by continuous perfusion. Tumor necrosis factor-alpha (TNF-α) is a key proinflammatory cytokine involved in chronic inflammatory diseases [A31469]. Its hyperactivity and enhanced signalling pathways can be observed in inflammatory diseases where it activates further pro-inflammatory cascades. By binding to both the soluble subunit and the membrane-bound precursor of TNF-α [A106], infliximab disrupts the interaction of TNF-α with its receptors and may also cause lysis of cells that produce TNF-α [A106].

Infliximab was first approved by the FDA in 1998 under the market name Remicade as an intravenous injection. It is indicated for the treatment of various inflammatory disorders such as adult or pediatric Chron's disease, adult or pediatric ulcerative colitis, rheumatoid arthritis in combination with methotrexate, ankylosing spondyliti, psoriatic arthritis, and plaque psoriasis [FDA Label]. In clinical trials, multiple infusions of infliximab displayed in a reduction of signs and symptoms of inflammatory diseases and induction of remission in patients who have had an inadequate response to alternative first-line therapies for that disorder [FDA Label]. 

There are currently two biosilimars of infliximab available in the US market that demonstrate a high degree of similarity to the reference product, Remicade. They are approved for all eligible indications of the reference product. Inflectra, a first biosimilar drug product, was approved in 2016. In December 2017, Ixifi, a second biosimilar that was developed by Pfizer, was granted approval by the FDA.","PeptidesOrganic CompoundsOrganic AcidsCarboxylic Acids and DerivativesAmino Acids, Peptides, and Analogues",DB00065,Avsola
Follitropin,"Follitropin is a human follicle stimulating hormone (FSH) preparation of recombinant DNA origin, which consists of two non-covalently linked, non-identical glycoproteins designated as the alpha- and beta- subunits. The alpha- and beta- subunits have 92 and 111 amino acids. The alpha subunit is glycosylated at Asn 51 and Asn 78 while the beta subunit is glycosylated at Asn 7 and Asn 24. Follitropin beta is produced in genetically engineered Chinese hamster cell lines (CHO). The nomenclature “beta” differentiates it from another recombinant human FSH product that was marketed earlier as follitropin alpha. Follitropin is important in the development of follicles produced by the ovaries. Given by subcutaneous injection, it is used in combination with human chorionic gonadotropin (hCG) to assist in ovulation and fertility. Follitropin may also be used to cause the ovary to produce several follicles, which can then be harvested for use in gamete intrafallopian transfer (GIFT) or in vitro fertilization (IVF).  Numerous physio-chemical tests and bioassays indicate that follitropin beta and follitropin alpha are indistinguishable. However, a more recent study showed there is may be a slight clinical difference, with the alpha form tending towards a higher pregnancy rate and the beta form tending towards a lower pregnancy rate, but with significantly higher estradiol (E2) levels. Structural analysis shows that the amino acid sequence of follitropin beta is identical to that of natural human follicle stimulating hormone (FSH). Further, the ogliosaccharide side chains are very similar, but not completely identical to that of natural FSH. However, these small differences do not affect the bioactivity compared to natural FSH.","PeptidesOrganic CompoundsOrganic AcidsCarboxylic Acids and DerivativesAmino Acids, Peptides, and Analogues",DB00066,Bemfola
Vasopressin,"Vasopressin (arginine-vasopressin or antidiuretic hormone) is a nonapeptide primarily produced in the hypothalamus that exhibits diverse physiological functions related to diuresis, hemodynamic modulation, and behaviour.[A110, A111, A112, A113, A228008] Vasopressin is very similar to oxytocin, differing in the third and eighth amino acids.[A228013] Despite a wide variety of functions, exogenous vasopressin is primarily used to control blood pressure during systemic shock by increasing vasoconstriction and renal fluid reuptake by acting through V<sub>1</sub> and V<sub>2</sub> cellular receptors.[A228008, A228013, A228018, L31413]

The vasopressive effect of posterior pituitary gland extracts was noted in 1895, while vasopressin itself was not purified until 1951. It has been used for more than five decades for varying conditions, including variceal bleeding, diabetes insipidus, and, more recently, vasodilatory shock.[A228013] It is currently marketed under the trademark VASOSTRICT® by PAR Pharmaceuticals.[L31413]",NA,DB00067,Pitressin
Interferon beta-1b,"Human interferon beta (165 residues), cysteine 17 is substituted with serine. Produced in E. coli, no carbohydrates, MW=18.5kD","PeptidesOrganic CompoundsOrganic AcidsCarboxylic Acids and DerivativesAmino Acids, Peptides, and Analogues",DB00068,Betaferon
Interferon alfacon-1,"Interferon alfacon-1 is a recombinant non-naturally occurring type-I interferon. The 166-amino acid sequence of Interferon alfacon-1 was derived by scanning the sequences of several natural interferon alpha subtypes and assigning the most frequently observed amino acid in each corresponding position. Four additional amino acid changes were made to facilitate the molecular construction, and a corresponding synthetic DNA sequence was constructed using chemical synthesis methodology. Interferon alfacon-1 differs from interferon alfa-2b at 20/166 amino acids (88% homology), and comparison with interferon-beta shows identity at over 30% of the amino acid positions. Interferon alfacon-1 is produced in Escherichia coli (E. coli) cells that have been genetically altered by insertion of a synthetically constructed sequence that codes for Interferon alfacon-1. Prior to final purification, Interferon alfacon-1 is allowed to oxidize to its native state, and its final purity is achieved by sequential passage over a series of chromatography columns. This protein has a molecular weight of 19,434 daltons.","PeptidesOrganic CompoundsOrganic AcidsCarboxylic Acids and DerivativesAmino Acids, Peptides, and Analogues",DB00069,Infergen
Hyaluronidase (ovine),Highly purified sheep hyaluronidase for administration by injection into the vitreous of the eye.,"PeptidesOrganic CompoundsOrganic AcidsCarboxylic Acids and DerivativesAmino Acids, Peptides, and Analogues",DB00070,Vitrase
Insulin pork,"Insulin isolated from pig pancreas. Composed of alpha and beta chains, processed from pro-insulin. Forms a hexameric structure.","PeptidesOrganic CompoundsOrganic AcidsCarboxylic Acids and DerivativesAmino Acids, Peptides, and Analogues",DB00071,Hypurin Nph Insulin Isophane Pork
Trastuzumab,"Produced in CHO cell cultures, trastuzumab is a recombinant IgG1 kappa, humanized monoclonal antibody [A40276] that selectively binds with high affinity in a cell-based assay (Kd = 5 nM) to the extracellular domain of the human epidermal growth factor receptor protein (HER2).[L14015] It is used as a treatment of human epidermal growth factor receptor (HER)-2+ metastatic breast cancer, where there is a proven amplification of the HER-2 oncogene or over-expression of the HER-2 protein in tumours. It is suggested that the overexpression or gene amplification of HER2 has been found in about 20–30% of breast cancers and elevated activation of HER2 triggers multiple downstream pathways leading to abnormal proliferation of cancer cells [A121]. Trastuzumab binds to HER2 and suppresses cancer cell growth, proliferation, and survival directly and indirectly [A121].

In December 2017, FDA approved OGIVRI (trastuzumab-dkst) as a biosimilar to Herceptin (trastuzumab) for the treatment of patients with breast or metastatic stomach cancer (gastric or gastroesophageal junction adenocarcinoma) whose tumors overexpress the HER2 gene (HER2+). It displays biosimilar properties as Herceptin according to clinical data. While Ogivri is the first biosimilar approved in the U.S. for the treatment of breast cancer or stomach cancer, it is the second biosimilar approved in the U.S. for the treatment of cancer. Herzuma (trastuzumab-pkrb) is a biosimilar drug approved in December 2018 for the treatment of HER2-overexpressing breast cancer. KANJINTI (trastuzumab-anns) is another biosimilar approved by the FDA in June 2019.[L14135] ONTRUZANT, another biosimilar of Herceptin, was approved by Health Canada in February 2022.[L40303, L40308] In November 2023, trastuzumab was also approved by the EMA under the brand name Herwenda.[L49339]","PeptidesOrganic CompoundsOrganic AcidsCarboxylic Acids and DerivativesAmino Acids, Peptides, and Analogues",DB00072,Herceptin
Rituximab,"Rituximab is a genetically engineered chimeric murine/human monoclonal antibody directed against the CD20 antigen found on the surface of normal and malignant B lymphocytes. The antibody is an IgG1 kappa immunoglobulin containing murine light and heavy-chain variable region sequences and human constant region sequences [A40017], [FDA label]. It was originally approved by the U.S. FDA in 1997 as a single agent to treat patients with B-cell Non-Hodgkin's Lymphoma (NHL) [L4811], however, has now been approved for a variety of conditions [FDA label]. On November 28, 2018, the US FDA approved _Truxima_, the first biosimilar to Rituxan (Rituximab) [L4808].","PeptidesOrganic CompoundsOrganic AcidsCarboxylic Acids and DerivativesAmino Acids, Peptides, and Analogues",DB00073,Blitzima
Basiliximab,"A recombinant chimeric (murine/human) monoclonal antibody (IgG1k) that functions as an immunosuppressive agent, specifically binding to and blocking the interleukin-2 receptor a-chain (IL-2R alpha, also known as CD25 antigen) on the surface of activated T-lymphocytes. It is a 144 kDa glycoprotein obtained from fermentation of an established mouse myeloma cell line genetically engineered to express plasmids containing the human heavy and light chain constant region genes and mouse heavy and light chain variable region genes encoding the RFT5 antibody that binds selectively to the IL-2R alpha.","PeptidesOrganic CompoundsOrganic AcidsCarboxylic Acids and DerivativesAmino Acids, Peptides, and Analogues",DB00074,Simulect
Muromonab,"Murine monoclonal antibody specific to CD3 T-cell lymphocyte antigens. More specifically it is a purified murine (mouse) monoclonal antibody, directed against the CD3 (T3) receptor on the surface of human T-cells (T-lymphocytes) cultured using the murine ascites method. Muromonab is 93% monomeric immune globulin G type 2a (IgG2a).","PeptidesOrganic CompoundsOrganic AcidsCarboxylic Acids and DerivativesAmino Acids, Peptides, and Analogues",DB00075,Okt3
Digoxin Immune Fab (Ovine),Digoxin Immune Fab is a sheep antibody (26-10) FAB fragment from sheep immunized with the digoxin derivative Digoxindicarboxymethylamine. It is used as an antidote for overdose of digoxin.,"PeptidesOrganic CompoundsOrganic AcidsCarboxylic Acids and DerivativesAmino Acids, Peptides, and Analogues",DB00076,Digibind
Ibritumomab tiuxetan,"Indium or yttrium conjugated murine IgG1 kappa monoclonal antibody directed against the CD20 antigen, which is found on the surface of normal and malignant B lymphocytes. Ibritumomab is produced in Chinese hamster ovary cells and is composed of two murine gamma 1 heavy chains of 445 amino acids each and two kappa light chains of 213 amino acids each.","PeptidesOrganic CompoundsOrganic AcidsCarboxylic Acids and DerivativesAmino Acids, Peptides, and Analogues",DB00078,Zevalin
Daptomycin,"Daptomycin is a cyclic lipopeptide antibacterial agent with a broad spectrum of activity against Gram-positive bacteria, including methicillin-susceptible and -resistant _Staphylococcus aureus_ (MSSA/MRSA) and vancomycin-resistant Enterococci (VRE).[A231379, A231384, L32534] Chemically, daptomycin comprises 13 amino acids, including several non-standard and D-amino acids, with the C-terminal 10 amino acids forming an ester-linked ring and the N-terminal tryptophan covalently bonded to decanoic acid.[A231374, L32534] Daptomycin was first discovered in the early 1980s by researchers at Eli Lilly in soil samples from Mount Ararat in Turkey.[A231384] Early work on developing daptomycin was abandoned due to observed myopathy but was resumed in 1997 when Cubist Pharmaceuticals Inc. licensed daptomycin; it was found that a once-daily dosing scheme reduced side effects while retaining efficacy.[A231379]

Daptomycin was approved by the FDA on September 12, 2003, and is marketed under the name CUBICIN® by Cubist Pharmaceuticals LLC (Merck & Co.).[L32534]",NA,DB00080,Cubicin
Tositumomab,"Murine IgG2a lambda monoclonal antibody against CD20 antigen (2 heavy chains of 451 residues, 2 lambda chains of 220 residues). It is produced in an antibiotic-free culture of mammalian cells. It can be covalently linked to Iodine 131 (a radioactive isotope of iodine).","PeptidesOrganic CompoundsOrganic AcidsCarboxylic Acids and DerivativesAmino Acids, Peptides, and Analogues",DB00081,Bexxar
Pegvisomant,"Pegvisomant is a highly selective growth hormone (GH) receptor antagonist. It is used to treat acromegaly.  Unlike dopamine or somatostatin analogs (which inhibit growth hormone secretion), this drug actually blocks the hepatic (GH-mediated) production of insulin like growth factor (IGF-1), which is the main mediator of growth hormone activity.","PeptidesOrganic CompoundsOrganic AcidsCarboxylic Acids and DerivativesAmino Acids, Peptides, and Analogues",DB00082,Somavert
Botulinum toxin type A,"In 2002, botulinum toxin A, also known as onabotulinumtoxinA or Botox, was the first type A botulism toxin to be introduced into the market for cosmetic use.[A231824] With a wide variety of applications and favourable safety profile, Botulinum toxin A injection is a minimally invasive and promising treatment for cosmetic imperfections, muscle spasms, and other conditions.[A231819,L32569] A popular use for Botox is the treatment of facial wrinkles and lines, however, there are many uses for the botulinum toxin A in the treatment of dystonia, incontinence, migraine, blepharospasm, and hyperhidrosis.[L32494,L32559]","PeptidesOrganic CompoundsOrganic AcidsCarboxylic Acids and DerivativesAmino Acids, Peptides, and Analogues",DB00083,Botox
Pancrelipase,"Pancrelipase, in general, is composed of a mixture of pancreatic enzymes which include amylases, lipases, and proteases. These enzymes are extracted from porcine pancreatic glands.[L2509] The pancrelipase mixture was developed by Ortho-McNeil-Janssen Pharmaceuticals, Inc and FDA approved on April 12, 2010.[L2510] For further information on the components of this mixture please visit [DB11065], [DB11066] and [DB13147].","PeptidesOrganic CompoundsOrganic AcidsCarboxylic Acids and DerivativesAmino Acids, Peptides, and Analogues",DB00085,Alka-pan Tablets
Streptokinase,"Streptokinase, is a sterile, purified preparation of a bacterial protein elaborated by group C (beta) -hemolytic streptococci.","PeptidesOrganic CompoundsOrganic AcidsCarboxylic Acids and DerivativesAmino Acids, Peptides, and Analogues",DB00086,Kabikinase - Pws 1500000units/vial
Alemtuzumab,"Alemtuzumab is a humanized monoclonal antibody specific to lymphocyte antigens. It is a recombinant DNA-derived humanized monoclonal antibody (Campath-1H) that is directed against the 21-28 kD cell surface glycoprotein, CD52. The Campath-1H antibody is an IgG1 kappa with the human variable framework and constant regions, and complementarity-determining regions from a murine (rat) monoclonal antibody (Campath-1G). Alemtuzumab is produced in mammalian cell (Chinese hamster ovary) suspension culture in a medium containing neomycin.[L43397]

Alemtuzumab was approved by the FDA in 2001.[L43397] It is marketed as LEMTRADA for multiple sclerosis (MS) treatment and CAMPTAH for B-cell chronic lymphocytic leukemia (B-CLL). The dose of alemtuzumab used for B-CLL is much higher than that for MS, and also at more frequent dosing.[L43397, L30335]","PeptidesOrganic CompoundsOrganic AcidsCarboxylic Acids and DerivativesAmino Acids, Peptides, and Analogues",DB00087,Campath
Alglucerase,"Human Beta-glucocerebrosidase or Beta-D-glucosyl-N-acylsphingosine glucohydrolase E.C. 3.2.1.45. 497 residue protein with N-linked carbohydrates, MW=59.3 kD. Alglucerase is prepared by modification of the oligosaccharide chains of human Beta-glucocerebrosidase. The modification alters the sugar residues at the non-reducing ends of the oligosaccharide chains of the glycoprotein so that they are predominantly terminated with mannose residues. Alglucerase was first approved by the FDA in 1991;[A254816] however, it was later discontinued from the market.","PeptidesOrganic CompoundsOrganic AcidsCarboxylic Acids and DerivativesAmino Acids, Peptides, and Analogues",DB00088,Ceredase
Capromab pendetide,"Capromab is a Murine IgG1 monoclonal 7E11-C5.3 antibody that recognizes prostate specific membrane antigen (PSMA – also known as glutamate carboxypeptidase 2) from prostate cancer cells and normal prostate tissue. When linked to pendetide, capromab is used as a chelating agent for the radionuclide [Indium In-111] during imaging to evaluate the extent of prostate cancer.","PeptidesOrganic CompoundsOrganic AcidsCarboxylic Acids and DerivativesAmino Acids, Peptides, and Analogues",DB00089,ProstaScint Kit for the Preparation of Indium In 111 Capromab Pendetide
Laronidase,"Human recombinant alpha-L-iduronidase, 628 residues (mature form), produced by recombinant DNAtechnology in a Chinese hamster ovary cell line. Laronidase is a glycoprotein with a molecular weight of approximately 83 kD. The predicted amino acid sequence of the recombinant form, as well as the nucleotide sequence that encodes it, are identical to a polymorphic form of human a-L-iduronidase. It contains 6 N-linked oligosaccharide modification sites.","PeptidesOrganic CompoundsOrganic AcidsCarboxylic Acids and DerivativesAmino Acids, Peptides, and Analogues",DB00090,Aldurazyme
Cyclosporine,"Cyclosporine is a calcineurin inhibitor known for its immunomodulatory properties that prevent organ transplant rejection and treat various inflammatory and autoimmune conditions. It is isolated from the fungus _Beauveria nivea_.[A174049] Initially manufactured by Sandoz and approved for use by the FDA in 1983, cyclosporine is now available in various products by Novartis (previously known as Sandoz).[L11097,L3734,L11118]",This compound belongs to the class of organic compounds known as cyclosporins. These are cyclic depsipeptides containing the cyclosporin backbone.CyclosporinsOrganic compoundsOrganic acids and derivativesPeptidomimeticsPeptoid-peptide hybridsAlpha amino acids and derivativesAzacyclic compoundsCarbonyl compoundsHydrocarbon derivativesLactamsMacrolactamsOligopeptidesOrganic oxidesOrganonitrogen compoundsOrganopnictogen compoundsSecondary alcoholsSecondary carboxylic acid amidesTertiary carboxylic acid amidesAlcoholAliphatic heteromonocyclic compoundAlpha-amino acid or derivativesAlpha-oligopeptideAzacycleCarbonyl groupCarboxamide groupCarboxylic acid derivativeCyclosporin-backboneHydrocarbon derivativeLactamMacrolactamOrganic nitrogen compoundOrganic oxideOrganic oxygen compoundOrganoheterocyclic compoundOrganonitrogen compoundOrganooxygen compoundOrganopnictogen compoundSecondary alcoholSecondary carboxylic acid amideTertiary carboxylic acid amide,DB00091,Apo-cyclosporine Oral Solution
Alefacept,"Immunosuppressive dimeric fusion protein that consists of the extracellular CD2-binding portion of the human leukocyte function antigen-3 (LFA-3) linked to the Fc (hinge, CH2 and CH3 domains) portion of human IgG1. Produced by CHO cells, mW is 91.4 kD.","PeptidesOrganic CompoundsOrganic AcidsCarboxylic Acids and DerivativesAmino Acids, Peptides, and Analogues",DB00092,Amevive
Felypressin,"A synthetic nonapeptide comprising cysteinyl, phenylalanyl, phenylalanyl, glutaminyl, asparaginyl, cysteinyl, prolyl, lysyl, and glycinamide residues in sequence, with a disulfide bridge joining the two cysteine residues. Its antidiuretic effects are less than those of vasopressin. It is a non-catecholamine vasoconstrictor used in local anaesthetic injections for dental use, and is an ingredient of preparations that have been used for treatment of pain and inflammation of the mouth.","PeptidesOrganic CompoundsOrganic AcidsCarboxylic Acids and DerivativesAmino Acids, Peptides, and Analogues",DB00093,Felypressin
Urofollitropin,"Urofollitropin is a urinary-derived follicle-stimulating hormone (FSH) that is extracted and purified from human urine samples. It consists of two non-covalently linked, non-identical glycoproteins designated as the alpha- and beta- subunits. The alpha- and beta- subunits have 92 and 111 amino acids. The alpha subunit is glycosylated at Asn 51 and Asn 78 while the beta subunit is glycosylated at Asn 7 and Asn 24. Urofollitropin is typically used injected subcutaneously in combination with human chorionic gonadotropin (hCG) to induce ovulation. Urofollitropin may also be used to cause the ovary to produce several follicles, which can then be harvested for use in gamete intrafallopian transfer (GIFT) or in vitro fertilization (IVF).","PeptidesOrganic CompoundsOrganic AcidsCarboxylic Acids and DerivativesAmino Acids, Peptides, and Analogues",DB00094,Bravelle
Efalizumab,Humanized IgG1 kappa isotype monoclonal antibody that binds to human CD11a. Efalizumab has a molecular weight of approximately 150 kilodaltons and is produced in a Chinese hamster ovary mammalian cell expression system in a nutrient medium containing the antibiotic gentamicin. The FDA approved efalizumab in 2003. It was later withdrawn in 2009 due to a potential risk of progressive multifocal leukoencephalopathy (PML).[L43797],"PeptidesOrganic CompoundsOrganic AcidsCarboxylic Acids and DerivativesAmino Acids, Peptides, and Analogues",DB00095,Raptiva
Choriogonadotropin alfa,"Recombinant human chorionic gonadotropin with 2 subunits, alpha = 92 residues, beta = 145 residues, each with N-and O-linked carbohydrate moieties linked to ASN-52 and ASN-78 (on alpha subunit) and ASN-13, ASN-30, SER-121, SER-127, SER-132 and SER-138 (on beta subunit). The primary structure of the alpha-chain of r-hCG is identical to that of the alpha-chain of hCG, FSH and LH.","PeptidesOrganic CompoundsOrganic AcidsCarboxylic Acids and DerivativesAmino Acids, Peptides, and Analogues",DB00097,Chorionic Gonadotropin
Antithymocyte immunoglobulin (rabbit),Rabbit anti-thymocyte globulin. Thymoglobulin is a polyclonal antibody that suppresses certain types of immune cells responsible for acute organ rejection in transplant patients. Thymoglobulin is a mixture of antibodies intended to bind to various cell surface antigens. The most common mode of action of Thymoglobulin is via selective depletion of T-cells.,"PeptidesOrganic CompoundsOrganic AcidsCarboxylic Acids and DerivativesAmino Acids, Peptides, and Analogues",DB00098,Thymoglobulin
Filgrastim,"Filgrastim is a short-acting recombinant, non-pegylated human granulocyte colony-stimulating factor (G-CSF) analog produced by recombinant DNA technology. It has an amino acid sequence identical to endogenous G-CSF, but it is non-glycosylated unlike the endogenous G-CSF and has an N-terminal methionine added in the sequence for expression in _E. Coli_.[L40714] Human G-CSF is a glycoprotein that regulates the production and release of neutrophils from the bone marrow. Filgrastim mimics the biological actions of G-CSF to increase the levels of neutrophils in the blood.[L40719] It has a number of therapeutic uses, including the management and prevention of infections and febrile neutropenia in patients receiving myelosuppressive chemotherapy or radiation therapy. It is also used to manage severe chronic neutropenia and mobilize hematopoietic progenitor cells to the peripheral blood for collection by leukapheresis in patients undergoing peripheral blood progenitor cell collection and therapy.[L40714]

Filgrastim was approved in the US in 1991 and there are biosimilars available with similar therapeutic indications.[A245858] Tbo-filgrastim was approved by the FDA on August 29, 2012.[L36325] Filgrastim-sndz was approved on March 6, 2015 [L40768] and filgrastim-ayow was approved on March 2, 2022.[L40773] A long-acting, pegylated G-CSF, [pegfilgrastim], was made available to increase the duration of action of the drug.","PeptidesOrganic CompoundsOrganic AcidsCarboxylic Acids and DerivativesAmino Acids, Peptides, and Analogues",DB00099,Accofil
Coagulation Factor IX (Recombinant),"Recombinant Coagulation Factor IX is a purified Factor IX glycoprotein produced by recombinant DNA technology. It has a primary amino acid sequence that is identical to the Ala148 allelic form of human factor IX, and has structural and functional characteristics similar to those of endogenous factor IX. It is not derived from human blood (unlike human Factor IX complex), and is instead produced by a genetically engineered Chinese hamster ovary (CHO) cell line that secretes recombinant Factor IX into cell medium that is then processed and purified for use as a pharmaceutical agent. 

Recombinant Factor IX is indicated for the control and prevention of bleeding episodes in adult and pediatric patients with congenital factor IX deficiency (Hemophilia B).","PeptidesOrganic CompoundsOrganic AcidsCarboxylic Acids and DerivativesAmino Acids, Peptides, and Analogues",DB00100,BeneFIX
Becaplermin,"Becaplermin is produced by recombinant DNA technology by insertion of the gene for the B chain of platelet derived growth factor (PDGF) into the yeast, Saccharomyces cerevisiae. Becaplermin has a molecular weight of approximately 25 KD and is a homodimer composed of two identical polypeptide chains that are bound together by disulfide bonds.","PeptidesOrganic CompoundsOrganic AcidsCarboxylic Acids and DerivativesAmino Acids, Peptides, and Analogues",DB00102,Regranex
Agalsidase beta,"Agalsidase beta is a recombinant human α-galactosidase A similar to [agalsidase alfa]. While patients generally do not experience a clinically significant difference in outcomes between the two drugs, some patients may experience greater benefit with agalsidase beta.[A220228,A220233] Use of agalsidase beta has decreased in Europe, in favor of agalsidase alfa, after a contamination event in 2009.[A220343]

Agalsidase beta was granted FDA approval on 24 April 2003.[L16383]","PeptidesOrganic CompoundsOrganic AcidsCarboxylic Acids and DerivativesAmino Acids, Peptides, and Analogues",DB00103,Fabrazyme
Octreotide,"Acromegaly is a disorder caused by excess growth hormone (GH), increasing the growth of body tissues and causing metabolic dysfunction.[L14501] In most cases, it results from an anterior pituitary growth hormone-releasing tumor. Typically, the feet, hands, and face grow abnormally large; organomegaly and insulin resistance may also occur. Acromegaly is a life-threatening disease requiring life-long management.[L14501]

Octreotide is a long-acting drug with pharmacologic activities that mimic those of the natural hormone, somatostatin, which inhibits the secretion of growth hormone.[L14513] Additionally, it is used for the treatment of acromegaly and symptoms arising from various tumors, including carcinoid tumors and vasoactive intestinal tumors (VIPomas).[L14513] In the past, octreotide has been administered solely by injection. On June 26, 2020, the first approved delayed-release oral somatostatin analog, Mycapssa, received FDA approval for the long term maintenance treatment of acromegaly. This drug was developed by Chiasma Inc.[L14495,L14507,L14528]","PeptidesOrganic CompoundsOrganic AcidsCarboxylic Acids and DerivativesAmino Acids, Peptides, and Analogues",DB00104,BYNFEZIA Pen
Interferon alfa-2b,Interferon alpha 2b (human leukocyte clone hif-sn 206 protein moiety reduced). A type I interferon consisting of 165 amino acid residues with arginine in position 23. This protein is produced by recombinant DNA technology and resembles interferon secreted by leukocytes. It is used extensively as an antiviral or antineoplastic agent.,"PeptidesOrganic CompoundsOrganic AcidsCarboxylic Acids and DerivativesAmino Acids, Peptides, and Analogues",DB00105,Intron A
Abarelix,Synthetic decapeptide antagonist to gonadotropin releasing hormone (GnRH). It is marketed by Praecis Pharmaceuticals as Plenaxis. Praecis announced in June 2006 that it was voluntarily withdrawing the drug from the market.,"This compound belongs to the class of organic compounds known as oligopeptides. These are organic compounds containing a sequence of between three and ten alpha-amino acids joined by peptide bonds.OligopeptidesOrganic compoundsOrganic acids and derivativesCarboxylic acids and derivativesAmino acids, peptides, and analogues1-hydroxy-2-unsubstituted benzenoidsAcetamidesAlanine and derivativesAlpha amino acid amidesAmphetamines and derivativesAryl chloridesAsparagine and derivativesAzacyclic compoundsCarbonyl compoundsChlorobenzenesDialkylaminesHeteroaromatic compoundsHydrocarbon derivativesLeucine and derivativesN-acyl aminesN-acyl-alpha amino acids and derivativesN-acylpyrrolidinesNaphthalenesOrganic oxidesOrganochloridesOrganopnictogen compoundsPhenylalanine and derivativesPrimary alcoholsPrimary carboxylic acid amidesProline and derivativesPyridines and derivativesPyrrolidinecarboxamidesSecondary carboxylic acid amidesSerine and derivativesTertiary carboxylic acid amidesTyrosine and derivatives1-hydroxy-2-unsubstituted benzenoidAcetamideAlanine or derivativesAlcoholAlpha-amino acid amideAlpha-amino acid or derivativesAlpha-oligopeptideAmineAmino acid or derivativesAmphetamine or derivativesAromatic heteropolycyclic compoundAryl chlorideAryl halideAsparagine or derivativesAzacycleBenzenoidCarbonyl groupCarboxamide groupChlorobenzeneFatty acylFatty amideHalobenzeneHeteroaromatic compoundHydrocarbon derivativeLeucine or derivativesMonocyclic benzene moietyN-acyl-alpha amino acid or derivativesN-acyl-amineN-acylpyrrolidineN-substituted-alpha-amino acidNaphthaleneOrganic nitrogen compoundOrganic oxideOrganic oxygen compoundOrganochlorideOrganohalogen compoundOrganoheterocyclic compoundOrganonitrogen compoundOrganooxygen compoundOrganopnictogen compoundPhenolPhenylalanine or derivativesPrimary alcoholPrimary carboxylic acid amideProline or derivativesPyridinePyrrolidinePyrrolidine carboxylic acid or derivativesPyrrolidine-2-carboxamideSecondary aliphatic amineSecondary amineSecondary carboxylic acid amideSerine or derivativesTertiary carboxylic acid amideTyrosine or derivatives",DB00106,NA
